13.60.163.108	container-soc1.global
13.53.139.178	*.itsm-portal.lan
13.60.181.61	*.zendesk.com
13.208.238.59	showcase-argocd.cloud
13.208.166.217	WMSvc-WEBA13
13.247.194.219	docker-registry
13.251.45.112	manufacturer-infra.store
13.246.58.35	FortiMail (frontend)
13.62.56.31	dosage.snowflake.corp
15.152.116.221	Realtek
15.152.16.241	AXIS IAM
15.134.207.39	redundant-annuity.org
15.152.76.89	ADFS Signing - defender-autodiscover.private
15.237.108.20	AnyConnect
15.160.47.245	postdoc-srv.edu
18.145.83.168	SharePoint Central Administration
16.171.68.235	alt.cpsi.viewer.network
16.62.123.236	192.168.50.1
16.63.28.153	MySQL_Server_5.7.35_Auto_Generated_Server_Certificate
18.170.25.193	scheduler-sbox.com
16.112.17.187	*.edge-proxy.intranet
18.188.53.175	asusrouter.com
18.184.4.189	TMG-cb:9d:aa:63:e4:73
3.137.167.45	HyperV-Host-3b:ac:2e:6e:ad:ef
34.234.100.23	Meraki-052881682164.confidential.sonicwall.org
13.212.26.15	dns-resolver.internal
3.145.123.230	*.azurewebsites.net
3.99.158.157	FS-CCF98A.pool-web.internal
18.231.214.27	UBNT-74:AC:B9:82:90:DB
18.162.200.96	Windows Admin Center
3.121.130.230	autoscaling-frontend.org
13.206.73.237	beta.nasdaq.supplement.org
35.182.12.78	pve.meuintelbras.local
3.123.27.84	fw-mgmt.localdomain
40.177.8.154	icu-layer2.com
44.222.181.192	dnsweb-1-hc-fsn1
43.206.240.252	*.queue-broker.internal
43.199.29.225	127.0.0.1
43.198.22.151	DeltaV
51.44.97.6	BACnet-Controller
43.208.237.116	api
51.17.62.103	mft ORG
43.210.200.108	typha-server
43.210.54.68	Azure AD Connect
43.218.124.29	scaling.openstack.org
43.208.243.207	HyperV-Host-3775393880
52.56.167.111	*.ssl-terminator.corp
52.47.115.41	office-10.1.1.6
51.84.101.19	kube-apiserver
52.67.249.120	public-pump.lan
54.183.251.28	falcon.subnet.com
54.188.236.206	ispmgr-cloud-ubuntu2404
54.170.22.150	CloudFlare Origin Certificate (canary)
78.12.149.243	localhost
54.94.226.81	alma-cyberpanel.localhost
78.12.230.173	Mitel Trusted Endpoint-2 manage
54.180.117.151	Sterling & Wheeler KK, Inc.
78.14.73.171	SCADAView-269283234964
54.206.129.120	test-register.store
98.92.210.48	Aruba-9e:e1:bd:d4:ed:da
98.80.249.121	backup-node.domain
54.253.167.61	ASA Temporary Self Signed Certificate
54.253.183.151	BUILD-7162-6081
56.155.99.29	CPE
65.2.5.16	*.itsm-portal.localdomain
98.130.11.240	VOIPTEST  Solutions Root Authority 1
